customerNameCode,supplierNameCode,total_trips
Amalgamations valeo clutch pvt,KASAM TRANSPORT SERVICE,1
Ashok Leyland Limited,GAYATHRI TRANSPORT,26
Ashok Leyland Limited,S.M.G Transport,9
Ashok Leyland Limited,SREE MAHAA ROADLINES,2
Ashok Leyland Limited,Unknown,2
Ashok Leyland Limited,NEW GOLDEN ROADINES CHENNAI,1
Ashok leyland limited,SRI PACHIAMMAN TRANSPORT,93
Ashok leyland limited,VINAYAKA ROADLINES,31
Ashok leyland limited,A.V.TRANSPORTS,12
Ashok leyland limited,VIJAY TRANSPORT,10
Ashok leyland limited,GAYATHRI TRANSPORT,9
Ashok leyland limited,S.M.G Transport,9
Ashok leyland limited,NEW CHENNAI ROYAL TRANSPORT,8
Ashok leyland limited,Vijay Transport,8
Ashok leyland limited,ANNAI VELANKANNI TRANSPORT,7
Ashok leyland limited,BRINDAVAN ROADWAYS,7
Ashok leyland limited,KRISHNA TRANSPORT,5
Ashok leyland limited,New Chennai Royal Transport,4
Ashok leyland limited,PACHAIYAMMAL ROADWAYS,4
Ashok leyland limited,BALLY LOGISTICS & WAREHOUSING PRIVATE LIMITED,1
Ashok leyland limited,S.M.G TRANSPORT,1
Ashok leyland limited,SREE MAHAA ROADLINES,1
Ashok leyland limited,SREE SAKTHI TRANSPORT,1
Brakes india private ltd,KRC Logistics,100
Brakes india private ltd,TRANS CARGO INDIA,19
Brakes india private ltd,R.Sai logistics india PVT.LTD,12
Brakes india private ltd,Unknown,7
Brakes india private ltd,SHREE OM TRANSPORT COMPANY,6
Brakes india private ltd,VJ Logistics,6
Brakes india private ltd,Arvinth Transport,2
Brakes india private ltd,Pratiksha Freight Carriers,2
Brakes india private ltd,TRANS CARGO PVT LTD,2
Brakes india private ltd,A S TRANS SOLUTION,1
Brakes india private ltd,ANUSHA LOGISTICS,1
Brakes india private ltd,FRIENDS TRANSPORT,1
Brakes india private ltd,New Olog Logistics Pvt Ltd,1
Brakes india private ltd,OMS LOGISTICS PVT LTD,1
Comstar automotive technologies pvt ltd,Sree Sakthi Transport,5
Comstar automotive technologies pvt ltd,DAIWAN DEVIDAS KADAM,4
Comstar automotive technologies pvt ltd,KIRAN BAJIRAO SHINDE,4
Comstar automotive technologies pvt ltd,Jai Hari Transports,2
Comstar automotive technologies pvt ltd,S D CHAVAN,1
Continental automotive components india,The Gurawalia Transport co,1
Cummins technologies india pvt ltd,EASTERN TRANSPORT AGENCY,2
Cummins technologies india pvt ltd,EKTA TRANSPORT COMPANY,1
Daimler india commercial vehicles pvt lt,VJ LOGISTICS,83
Daimler india commercial vehicles pvt lt,NAMAKKAL SRI ANJINAYA TRANSPORT,74
Daimler india commercial vehicles pvt lt,VJ Logistics,72
Daimler india commercial vehicles pvt lt,ARVINTH TRANSPORT,66
Daimler india commercial vehicles pvt lt,Arvinth Transport,52
Daimler india commercial vehicles pvt lt,ESWAR TRANSPORT,48
Daimler india commercial vehicles pvt lt,SUSEE TRANSPORTER,45
Daimler india commercial vehicles pvt lt,KRC Logistics,40
Daimler india commercial vehicles pvt lt,R.Sai logistics india PVT.LTD,22
Daimler india commercial vehicles pvt lt,RAGUL TRANSPORT,12
Daimler india commercial vehicles pvt lt,TRANS CARGO INDIA,10
Daimler india commercial vehicles pvt lt,KRC LOGISTICS,9
Daimler india commercial vehicles pvt lt,OMS LOGISTICS PVT LTD,9
Daimler india commercial vehicles pvt lt,New Chennai Royal Transport,7
Daimler india commercial vehicles pvt lt,DHEEPIKAA ROADLINES,5
Daimler india commercial vehicles pvt lt,Pratiksha Freight Carriers,5
Daimler india commercial vehicles pvt lt,MUTHALA AMMAN TRANSPORT,4
Daimler india commercial vehicles pvt lt,Unknown,4
Daimler india commercial vehicles pvt lt,ARCHANA TRANSPORT,2
Daimler india commercial vehicles pvt lt,EKTA TRANSPORT COMPANY,2
Daimler india commercial vehicles pvt lt,S D CHAVAN,2
Daimler india commercial vehicles pvt lt,SHREE OM TRANSPORT COMPANY,2
Daimler india commercial vehicles pvt lt,SR RAJA TRANS,2
Daimler india commercial vehicles pvt lt,TROCKO LOGI PRIVATE LIMITED,2
Daimler india commercial vehicles pvt lt,A S TRANS SOLUTION,1
Daimler india commercial vehicles pvt lt,DAIWAN DEVIDAS KADAM,1
Daimler india commercial vehicles pvt lt,POWER LOGISTICS,1
Daimler india commercial vehicles pvt lt,PRATIKSHA  FREIGHT CARRIERS,1
Daimler india commercial vehicles pvt lt,QUICK DIGITAL TECHNOLOGIES PVT LIMITED,1
Daimler india commercial vehicles pvt lt,Quick Digital Technologies Pvt Ltd,1
Daimler india commercial vehicles pvt lt,RENUKA CARGO CARRIERS,1
Daimler india commercial vehicles pvt lt,UDAYA LOGISTICS,1
Daimler india commercial vehicles pvt lt,VIKAS LOGISTICS OF INDIA,1
Ericsson india private limited,Rajdhani Roadways,64
Ericsson india private limited,PAWAN R LOGISTICS,26
Ericsson india private limited,NEW CHANDIGARH HARYANA ROADWAY,19
Ericsson india private limited,NORTH SOUTH LOGISTICS SERVICE,15
Ericsson india private limited,IMPRINTS INFRASTUCTURE AND LOGISTICS LTD.,14
Ericsson india private limited,Gunjan Logistics,12
Ericsson india private limited,ASSAM ROADWAYS,11
Ericsson india private limited,Unknown,10
Ericsson india private limited,Fortigo Transport Agency Pvt. Ltd.,9
Ericsson india private limited,Pranav Transport,6
Ericsson india private limited,BHARATIYA ROADLINES PVT. LTD.,3
Ericsson india private limited,EASTERN TRANSPORT AGENCY,3
Ericsson india private limited,North South,3
Ericsson india private limited,A ONE ASSOCIATED,2
Ericsson india private limited,ADM Logistics,1
Ericsson india private limited,ANUSHA LOGISTICS,1
Ericsson india private limited,Aakash Logistics,1
Ericsson india private limited,DELHI RAJASTHAN ROADWAYS,1
Ericsson india private limited,DIMOND LOGISTICS,1
Ericsson india private limited,EAST INDIA,1
Ericsson india private limited,Jai Ganga Transport Company,1
Ericsson india private limited,MAHAVEERA TRANSPORT PVT. LTD. ,1
Ericsson india private limited,Munjal Transport,1
Ericsson india private limited,N Tex,1
Ericsson india private limited,NATIONAL LOGISTICS,1
Ericsson india private limited,Nav Bharath,1
Ericsson india private limited,SUNDAR,1
Ericsson india private limited,Siraj ahmed,1
Flyjac logistics pvt ltd,DAIWAN DEVIDAS KADAM,1
Ford india private limited,EKTA TRANSPORT COMPANY,192
Ford india private limited,TRANS CARGO INDIA,135
Ford india private limited,EKTA TRAVELS,51
Ford india private limited,Sterling Translogistics Private Limited,30
Ford india private limited,FRIENDS TRANSPORT,27
Ford india private limited,R.Sai logistics india PVT.LTD,25
Ford india private limited,A S TRANS SOLUTION,24
Ford india private limited,Unknown,20
Ford india private limited,APACE TRANSCO PVT. LTD.,19
Ford india private limited,Amar Jyoti Logistics Pvt. Ltd,12
Ford india private limited,SRI VINAYAKA  TRANSPORT,11
Ford india private limited,EASTERN TRANSPORT AGENCY,10
Ford india private limited,OTS LIMITED,10
Ford india private limited,SRI CHAKRA LOGISTICS,10
Ford india private limited,SAHIL CARGO CARRIERS,8
Ford india private limited,VJ Logistics,8
Ford india private limited,A ONE ASSOCIATED,7
Ford india private limited,SHREE OM TRANSPORT COMPANY,7
Ford india private limited,KRC Logistics,6
Ford india private limited,NGX Logistics Pvt Ltd,6
Ford india private limited,EFC INFRASTRUCTURES PRIVATE LIMITED,4
Ford india private limited,New Chennai Royal Transport,4
Ford india private limited,UDAYA LOGISTICS,4
Ford india private limited,Pratiksha Freight Carriers,3
Ford india private limited,S.M EXPRESS,3
Ford india private limited,Sree Sakthi Transport,3
Ford india private limited,TRANS CARGO PVT LTD,3
Ford india private limited,Jai Hari Transports,2
Ford india private limited,SM EXPRESS,2
Ford india private limited,SUKHBIR SINGH,2
Ford india private limited,Arvinth Transport,1
Ford india private limited,GURUCHANRA  ROADLINES,1
